Sep=,
DAQ,Date,Time,A0,A3,B5,Humidity (SCD30),CO2 (SCD30),VOC(SGP40)
1,0-1-1,0:7:50,0.22,0.24,25,31.96,536.0,32851
1,0-1-1,0:7:53,0.22,0.24,9,31.93,537.0,32871
1,0-1-1,0:7:56,0.22,0.24,83,31.88,538.0,32866
1,0-1-1,0:7:59,0.22,0.24,62,31.97,537.0,32871
1,0-1-1,0:8:2,0.22,0.24,85,31.87,538.0,32870
1,0-1-1,0:8:6,0.22,0.24,69,31.87,538.0,32875
1,0-1-1,0:8:9,0.21,0.24,79,31.83,538.0,32887
1,0-1-1,0:8:12,0.21,0.24,83,31.86,538.0,32878
1,0-1-1,0:8:15,0.21,0.24,76,31.8,538.0,32875
1,0-1-1,0:8:18,0.21,0.24,73,31.78,538.0,32866
1,0-1-1,0:8:21,0.21,0.24,20,31.78,538.0,32879
1,0-1-1,0:8:24,0.21,0.24,15,31.79,538.0,32879
1,0-1-1,0:8:28,0.22,0.24,24,31.8,539.0,32882
1,0-1-1,0:8:31,0.22,0.24,91,31.7,539.0,32895
1,0-1-1,0:8:34,0.22,0.24,57,31.73,539.0,32898
1,0-1-1,0:8:37,0.22,0.24,76,31.71,539.0,32907
1,0-1-1,0:8:40,0.22,0.24,75,31.72,540.0,32907
1,0-1-1,0:8:43,0.21,0.24,84,31.73,539.0,32906
1,0-1-1,0:8:47,0.22,0.24,75,31.75,539.0,32891
1,0-1-1,0:8:50,0.22,0.24,70,31.75,539.0,32890
1,0-1-1,0:8:53,0.22,0.24,75,31.73,538.0,32899
1,0-1-1,0:8:56,0.22,0.24,52,31.69,538.0,32891
1,0-1-1,0:8:59,0.22,0.24,17,31.63,538.0,32898
1,0-1-1,0:9:2,0.22,0.24,20,31.65,538.0,32907
1,0-1-1,0:9:6,0.21,0.24,89,31.66,539.0,32902
1,0-1-1,0:9:9,0.22,0.24,42,31.66,539.0,32895
1,0-1-1,0:9:12,0.22,0.24,81,31.63,539.0,32907
1,0-1-1,0:9:15,0.22,0.24,76,31.65,539.0,32894
1,0-1-1,0:9:18,0.22,0.24,84,31.66,540.0,32899
1,0-1-1,0:9:21,0.22,0.24,72,31.65,540.0,32910
1,0-1-1,0:9:25,0.21,0.24,66,31.66,540.0,32899
1,0-1-1,0:9:28,0.22,0.24,86,31.64,540.0,32899
1,0-1-1,0:9:31,0.22,0.24,73,31.72,538.0,32898
1,0-1-1,0:9:34,0.21,0.24,92,31.67,538.0,32899
1,0-1-1,0:9:37,0.22,0.24,14,31.61,538.0,32894
1,0-1-1,0:9:40,0.22,0.24,99,31.64,538.0,32895
1,0-1-1,0:9:44,0.22,0.24,46,31.61,538.0,32895
1,0-1-1,0:9:47,0.22,0.24,92,31.67,537.0,32898
1,0-1-1,0:9:50,0.22,0.24,89,31.67,538.0,32907
1,0-1-1,0:9:53,0.22,0.24,93,31.69,539.0,32894
1,0-1-1,0:9:56,0.22,0.24,87,31.71,539.0,32887
1,0-1-1,0:9:59,0.22,0.24,92,31.79,539.0,32875
1,0-1-1,0:10:3,0.22,0.24,88,31.71,539.0,32862
1,0-1-1,0:10:6,0.22,0.24,77,31.63,539.0,32859
1,0-1-1,0:10:9,0.22,0.24,84,31.6,540.0,32830
1,0-1-1,0:10:12,0.21,0.24,29,31.54,541.0,32799
1,0-1-1,0:10:15,0.22,0.24,95,31.52,541.0,32775
1,0-1-1,0:10:18,0.22,0.24,35,31.45,541.0,32738
1,0-1-1,0:10:22,0.21,0.24,93,31.5,541.0,32703
1,0-1-1,0:10:25,0.22,0.24,83,31.59,540.0,32690
1,0-1-1,0:10:28,0.22,0.24,87,31.54,541.0,32695
1,0-1-1,0:10:31,0.21,0.24,90,31.56,541.0,32687
1,0-1-1,0:10:34,0.22,0.24,92,31.45,542.0,32666
1,0-1-1,0:10:37,0.21,0.24,86,31.48,541.0,32667
1,0-1-1,0:10:40,0.22,0.24,72,31.5,542.0,32650
1,0-1-1,0:10:44,0.21,0.24,95,31.53,541.0,32655
1,0-1-1,0:10:47,0.22,0.24,12,31.43,541.0,32675
1,0-1-1,0:10:50,0.22,0.24,85,31.43,542.0,32690
1,0-1-1,0:10:53,0.21,0.24,25,31.37,541.0,32707
1,0-1-1,0:10:56,0.22,0.24,96,31.4,540.0,32718
1,0-1-1,0:10:59,0.22,0.24,92,31.41,540.0,32715
1,0-1-1,0:11:3,0.22,0.24,96,31.39,540.0,32719
1,0-1-1,0:11:6,0.21,0.24,84,31.43,540.0,32706
1,0-1-1,0:11:9,0.21,0.24,92,31.4,541.0,32671
1,0-1-1,0:11:12,0.22,0.24,97,31.34,541.0,32626
1,0-1-1,0:11:15,0.22,0.24,93,31.36,541.0,32583
1,0-1-1,0:11:18,0.22,0.24,102,31.36,541.0,32555
1,0-1-1,0:11:22,0.22,0.24,44,31.43,542.0,32518
1,0-1-1,0:11:25,0.22,0.24,102,31.42,543.0,32475
1,0-1-1,0:11:28,0.21,0.24,35,31.33,543.0,32426
1,0-1-1,0:11:31,0.22,0.24,110,31.31,542.0,32371
1,0-1-1,0:11:34,0.22,0.24,104,31.19,542.0,32315
1,0-1-1,0:11:37,0.22,0.24,109,31.23,542.0,32282
1,0-1-1,0:11:41,0.22,0.24,113,31.19,542.0,32247
1,0-1-1,0:11:44,0.22,0.24,138,31.26,541.0,32230
1,0-1-1,0:11:47,0.22,0.24,111,31.3,541.0,32199
1,0-1-1,0:11:50,0.21,0.24,106,31.3,540.0,32155
1,0-1-1,0:11:53,0.22,0.24,123,31.28,540.0,32114
1,0-1-1,0:11:56,0.22,0.24,192,31.3,540.0,32087
1,0-1-1,0:11:59,0.21,0.24,133,31.3,540.0,32062
1,0-1-1,0:12:3,0.22,0.24,157,31.29,540.0,32047
1,0-1-1,0:12:6,0.22,0.24,131,31.3,539.0,32039
1,0-1-1,0:12:9,0.22,0.24,133,31.3,539.0,32042
1,0-1-1,0:12:12,0.22,0.24,117,31.25,538.0,32031
1,0-1-1,0:12:15,0.22,0.24,118,31.29,538.0,32014
1,0-1-1,0:12:18,0.22,0.24,122,31.25,537.0,32019
1,0-1-1,0:12:22,0.22,0.24,123,31.2,537.0,32019
1,0-1-1,0:12:25,0.21,0.24,143,31.16,538.0,32026
1,0-1-1,0:12:28,0.22,0.24,118,31.12,537.0,32007
1,0-1-1,0:12:31,0.21,0.24,124,31.09,537.0,31958
1,0-1-1,0:12:34,0.21,0.24,109,30.94,538.0,31923
1,0-1-1,0:12:37,0.22,0.24,20,30.95,537.0,31907
1,0-1-1,0:12:41,0.21,0.24,107,30.95,538.0,31914
1,0-1-1,0:12:44,0.22,0.24,123,30.94,538.0,31947
1,0-1-1,0:12:47,0.22,0.24,113,30.97,538.0,31974
1,0-1-1,0:12:50,0.22,0.24,104,31.04,538.0,32007
1,0-1-1,0:12:53,0.22,0.24,118,31.16,537.0,32039
1,0-1-1,0:12:56,0.22,0.24,111,31.18,536.0,32066
1,0-1-1,0:12:59,0.22,0.24,115,31.23,536.0,32083
1,0-1-1,0:13:3,0.22,0.24,133,31.28,536.0,32102
1,0-1-1,0:13:6,0.22,0.24,183,31.39,536.0,32103
1,0-1-1,0:13:9,0.22,0.24,143,31.41,535.0,32103
1,0-1-1,0:13:12,0.22,0.24,197,31.42,535.0,32106
1,0-1-1,0:13:15,0.22,0.24,120,31.43,535.0,32103
1,0-1-1,0:13:18,0.22,0.24,145,31.46,535.0,32086
1,0-1-1,0:13:22,0.22,0.24,131,31.46,534.0,32071
1,0-1-1,0:13:25,0.22,0.24,145,31.41,535.0,32067
1,0-1-1,0:13:28,0.22,0.24,135,31.6,533.0,32054
1,0-1-1,0:13:31,0.22,0.24,139,31.67,533.0,32059
1,0-1-1,0:13:34,0.22,0.24,125,31.69,531.0,32050
1,0-1-1,0:13:37,0.22,0.24,126,31.71,529.0,32035
1,0-1-1,0:13:41,0.22,0.24,3,31.69,531.0,32035
1,0-1-1,0:13:44,0.22,0.24,132,31.62,531.0,32030
1,0-1-1,0:13:47,0.22,0.24,242,31.72,530.0,32019
1,0-1-1,0:13:50,0.22,0.24,128,31.85,527.0,32010
1,0-1-1,0:13:53,0.22,0.24,134,31.83,526.0,32007
1,0-1-1,0:13:56,0.22,0.24,120,31.86,529.0,32011
1,0-1-1,0:13:59,0.22,0.24,142,31.88,529.0,31998
1,0-1-1,0:14:3,0.21,0.24,157,31.9,527.0,31991
1,0-1-1,0:14:6,0.22,0.24,130,31.92,526.0,31982
1,0-1-1,0:14:9,0.22,0.24,149,31.87,525.0,31963
1,0-1-1,0:14:12,0.22,0.24,137,31.83,524.0,31967
1,0-1-1,0:14:15,0.22,0.24,5,31.92,523.0,31974
1,0-1-1,0:14:18,0.22,0.24,151,32.01,524.0,31979
1,0-1-1,0:14:22,0.22,0.24,4,32.05,522.0,31982
1,0-1-1,0:14:25,0.22,0.24,124,32.13,522.0,31971
1,0-1-1,0:14:28,0.22,0.24,135,32.05,521.0,31959
1,0-1-1,0:14:31,0.22,0.24,145,32.14,521.0,31962
1,0-1-1,0:14:34,0.22,0.24,125,32.13,521.0,31967
